T_K,scenario,Ecalc,t_star_s,sigma_s
1162.5,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.875500908819639,80.9772309919839,297.6190476190476
1163.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.8872518545369011,72.6847132064744,297.6190476190476
1163.5,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.8971111023204373,65.8416521313197,297.6190476190476
1164.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9054994694822521,60.09944566499033,297.6190476190476
1164.5,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.912721752942601,55.21297413600865,297.6190476190476
1165.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9190040846293184,51.00485474178016,297.6190476190476
1165.5,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.924517744160311,47.34355545334446,297.6190476190476
1166.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9293948240732683,44.129479642181956,297.6190476190476
1166.5,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9337388212704758,41.28582855443892,297.6190476190476
1167.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9376319721141985,38.752431338856155,297.6190476190476
1167.5,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.941140441409454,36.48147597785139,297.6190476190476
1168.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9443180633001438,34.434491236059905,297.6190476190476
1168.5,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9472090843193428,32.580171841591785,297.6190476190476
1169.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9498502057397018,30.89278426755661,297.6190476190476
1169.5,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9522721254199573,29.35097998391735,297.6190476190476
1170.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9545007165678034,27.93689964002419,297.6190476190476
1170.5,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9565579393640793,26.635488235705036,297.6190476190476
1171.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9584625534827759,25.433965495172988,297.6190476190476
1171.5,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9602306804412136,24.321411901441248,297.6190476190476
1172.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9618762514405667,23.288441958324693,297.6190476190476
1172.5,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9634113669995142,22.32694396430195,297.6190476190476
1173.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9648465880001973,21.429871020638966,297.6190476190476
1173.5,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9661911729334856,20.591071879282346,297.6190476190476
1174.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9674532725967734,19.805153043013032,297.6190476190476
1174.5,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9686400908862579,19.067365582631083,297.6190476190476
1175.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9697580183764912,18.37351165246636,297.6190476190476
1175.5,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9708127439118998,17.719866817285464,297.6190476190476
1176.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.971809348319383,17.103115156183957,297.6190476190476
1176.5,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9727523834963675,16.52029475682537,297.6190476190476
1177.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.973645939469129,15.968751709640125,297.6190476190476
1177.5,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9744937015029496,15.446101094701625,297.6190476190476
1178.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9752989989441543,14.950193751920072,297.6190476190476
1178.5,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9760648471574236,14.479087858462234,297.6190476190476
1179.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9767939836708324,14.031024521149407,297.6190476190476
1179.5,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9774888994408206,13.604406737373356,297.6190476190476
1180.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.978151865988823,13.197781194350567,297.6190476190476
1180.5,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9787849590317137,12.809822469805164,297.6190476190476
1181.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9793900791233877,12.439319272381528,297.6190476190476
1181.5,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9799689697394361,12.08516242103381,297.6190476190476
1182.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9805232331668323,11.746334312276307,297.6190476190476
1182.5,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9810543445033366,11.421899664784466,297.6190476190476
1183.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9815636640237685,11.110997364197637,297.6190476190476
1183.5,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9820524481312191,10.812833258510583,297.6190476190476
1184.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9825218590785109,10.52667377724617,297.6190476190476
1184.5,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9829729736180923,10.25184026657521,297.6190476190476
1185.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9834067907156304,9.987703948384434,297.6190476190476
1185.5,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.983824238443454,9.733681424559473,297.6190476190476
1186.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9842261801537877,9.4892306589061,297.6190476190476
1186.5,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9846134200181015,9.253847378534877,297.6190476190476
1187.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9849867080071618,9.027061844496844,297.6190476190476
1187.5,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9853467443766266,8.80843594821013,297.6190476190476
1188.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9856941837145118,8.597560595966506,297.6190476190476
1188.5,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9860296385995967,8.394053348715886,297.6190476190476
1189.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9863536829138331,8.197556288524812,297.6190476190476
1189.5,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9866668548461838,8.007734086712771,297.6190476190476
